6	10級
7	20級
8	30級
9	40級
10	50級
11	60級
12	70級
13	80級
15	一堆寵物
16	誰點了砂鍋大的拳頭?
31	簡單的重複任務
32	2000個任務完成
33	凍原一點都不冷
34	我玩遍了峽灣
35	龍骨荒野之力
36	祖爾德拉克帝國
37	灰白之丘是我家後花園
38	風暴群山之顛
39	深入盆地
40	寒冰皇冠:最終目標
41	北裂境博學大師
42	探索東部王國
43	探索卡林多
44	探索外域
45	探索北裂境
46	世界探險家
49	奧特蘭克山谷獲勝次數
50	暴風之眼獲勝次數
51	阿拉希盆地獲勝次數
52	參與戰歌峽谷戰場次數
53	參與奧特蘭克山谷戰場次數
54	參與暴風之眼戰場次數
55	參與阿拉希盆地戰場次數
56	戰歌峽谷中的死亡次數
57	奧特蘭克山谷中的死亡次數
58	死於德雷克塔爾的次數
59	阿拉希盆地中的死亡次數
60	死亡總次數
73	使盆地蒙羞
94	放棄的任務數
95	平均一天完成的任務數
97	每日任務完成數
98	任務完成數
99	參與羅德隆廢墟賽事次數
100	試煉競技場獲勝次數
101	參與試煉競技場賽事次數
102	羅德隆廢墟獲勝次數
103	參與血之環賽事次數
104	血之環獲勝次數
105	戰歌峽谷獲勝次數
107	曾擊殺的生物
108	曾擊殺的小動物
110	擊殺最多次的巫妖王之怒5人首領
112	溺水致死次數
113	死於疲倦的次數
114	死於掉落的次數
115	死於火焰與熔岩的次數
116	專業中級職人
121	中級廚師
122	高級廚師
123	專家級廚師
124	大師級廚師
125	宗師級廚師
126	中級漁夫
127	高級漁夫
128	專家級漁夫
129	大師級漁夫
130	宗師級漁夫
131	習得中級急救技能
132	習得高級急救技能
133	習得專家級急救技能
134	習得大師級急救技能
135	習得宗師級急救技能
137	存起來
141	基本檢傷
144	海上潛伏者
150	垂釣外交官
153	地精老人與海
154	阿拉希盆地勝利
155	阿拉希盆地精兵
156	領土主宰
157	及時救援!
158	我和我的摸旗技術讓這一切成為現實
159	搞定它
161	強韌獲勝
162	我們終究贏了 *咳嗽*
165	阿拉希盆地完封
166	戰歌峽谷勝利
167	戰歌峽谷精兵
168	戰歌峽谷完封
178	已學會的附魔公式
181	曾經分解過的物品
183	藉由分解所產生的材料
189	最大治療量
193	最大傷害
197	傷害總量
198	治療總量
199	佔領旗幟
200	固執防衛者
201	戰歌快手
202	交旗快手
203	別在我的地盤鬧事
204	鐵人
206	無上防衛者
207	千鈞一髮
208	暴風之眼勝利
209	暴風之眼精兵
211	暴風榮耀
212	暴風籠罩
213	暴風突襲兵
214	狂風
216	為榮耀而生
218	奧特蘭克山谷勝利
219	奧特蘭克山谷精兵
220	雷矛完封
221	奧特蘭克盜墓者
222	哨塔防禦
223	病態的蹬羚
224	忠誠防禦者
225	什麼都用的上
226	奧特蘭克閃擊戰
227	傷害控制
229	死神
230	戰鬥大師
231	破壞鐵球
233	嗜血狂戰士
238	一個榮譽擊殺
239	25000次榮譽擊殺
245	不分職業
246	瞭解敵人
247	要愛，不要魔獸
248	週日盛裝
249	盛裝出席
252	朋友的小助手
255	把那個誰的頭帶給我…噢，等等
259	小氣財神
260	超可愛
263	凍死冰霜領主
271	燃燒的火柱之舞
272	火炬雜耍師
273	梅特森騎手!
275	老練褓母
277	季節到了
279	一整個討人厭
281	急救技能
283	化妝舞會
284	萬用面具
288	吐出來
289	萬鬼節的救星
291	檢查你的頭
292	邪惡呼喚
293	擾亂安寧
295	把酒喝光
303	有了桶子，就有樂子
306	艾澤拉斯釣手大師
318	死於敵對陣營的總次數
319	決鬥獲勝次數
320	決鬥落敗次數
321	團隊和地城中的死亡總數
322	死於巫妖王之怒地城首領的總次數
323	死於巫妖王之怒10人團隊首領的總次數
324	死於巫妖王之怒25人團隊首領的總次數
326	任務獎勵金幣總額
328	金幣獲得總額
329	委託拍賣總數
330	購得拍賣總數
331	購買過最貴的拍賣品
332	售出過最貴的拍賣品
333	拾取金幣總額
334	最大持有金幣總額
336	傳說級物品獲得總數
338	持有的小寵物數量
339	持有的坐騎數量
341	拾取過的史詩物品數量
342	史詩物品獲得總數
344	使用過的繃帶
345	服用過的治療藥水
346	飲用過的飲料
347	吃過的食物
349	飛行趟數
350	通過法師傳送門的總次數
353	爐石次數
